Province,Police_Station,Crime_Category,Period_2015_2016
Eastern Cape,Aberdeen,All theft not mentioned elsewhere,51
Eastern Cape,Aberdeen,Arson,4
Eastern Cape,Aberdeen,Assault with the intent to inflict grievous bodily harm,87
Eastern Cape,Aberdeen,Attempted murder,5
Eastern Cape,Aberdeen,Bank robbery,0
Eastern Cape,Aberdeen,Burglary at non-residential premises,15
Eastern Cape,Aberdeen,Burglary at residential premises,74
Eastern Cape,Aberdeen,Carjacking,0
Eastern Cape,Aberdeen,Commercial crime,8
Eastern Cape,Aberdeen,Common assault,48
Eastern Cape,Aberdeen,Common robbery,10
Eastern Cape,Aberdeen,Driving under the influence of alcohol or drugs,2
Eastern Cape,Aberdeen,Drug-related crime,22
Eastern Cape,Aberdeen,Illegal possession of firearms and ammunition,0
Eastern Cape,Aberdeen,Malicious damage to property,32
Eastern Cape,Aberdeen,Murder,9
Eastern Cape,Aberdeen,Robbery at non-residential premises,1
Eastern Cape,Aberdeen,Robbery at residential premises,2
Eastern Cape,Aberdeen,Robbery of cash in transit,0
Eastern Cape,Aberdeen,Robbery with aggravating circumstances,8
Eastern Cape,Aberdeen,Sexual Offences,14
Eastern Cape,Aberdeen,Sexual offences as result of police action,0
Eastern Cape,Aberdeen,Shoplifting,0
Eastern Cape,Aberdeen,Stock-theft,20
Eastern Cape,Aberdeen,Theft of motor vehicle and motorcycle,2
Eastern Cape,Aberdeen,Theft out of or from motor vehicle,7
Eastern Cape,Aberdeen,Truck hijacking,0
Eastern Cape,Addo,All theft not mentioned elsewhere,97
Eastern Cape,Addo,Arson,2
Eastern Cape,Addo,Assault with the intent to inflict grievous bodily harm,150
Eastern Cape,Addo,Attempted murder,25
Eastern Cape,Addo,Bank robbery,0
Eastern Cape,Addo,Burglary at non-residential premises,87
Eastern Cape,Addo,Burglary at residential premises,144
Eastern Cape,Addo,Carjacking,0
Eastern Cape,Addo,Commercial crime,6
Eastern Cape,Addo,Common assault,48
Eastern Cape,Addo,Common robbery,9
