Police_Station	LongitudeY	LatitudeX
ABERDEEN	-32.47634	24.06098
ACORNHOEK	-24.5971	31.04835
ACTONVILLE	-26.21198	28.29975
ADDO	-33.54769	25.69029
ADELAIDE	-32.70725	26.29255
AFSONDERING	-30.16502	28.96145
AGGENEYS	-29.24206	18.84713
AKASIA	-25.62571	28.09538
ALBERTINIA	-34.2086	21.58325
ALBERTON	-26.26088	28.12692
ALEXANDER BAY	-28.60706	16.49218
ALEXANDRA	-26.10548	28.10089
ALEXANDRA ROAD	-29.61901	30.38773
ALEXANDRIA	-33.65057	26.412
ALGOAPARK	-33.90246	25.57071
ALICE	-32.79033	26.83583
ALICEDALE	-33.31668	26.08514
ALIWAL NORTH	-30.68748	26.71103
ALLANRIDGE	-27.75013	26.64818
ALLDAYS	-22.68226	29.10417
AMALIA	-27.24996	25.05068
AMANGWE	-28.94127	29.61758
AMANZIMTOTI	-30.05182	30.88011
AMERSFOORT	-27.00869	29.87218
AMSTERDAM	-26.62306	30.66041
APEL	-24.42233	29.78591
ARLINGTON	-28.02889	27.85058
ASHTON	-33.83361	20.06699
ASSEN	-25.16766	27.60201
ATAMELANG	-26.50534	25.37052
ATHLONE	-33.96157	18.50724
ATLANTIS	-33.56479	18.49318
ATTERIDGEVILLE	-25.77462	28.07173
AUGRABIES	-28.66908	20.4225
AVONDALE	-30.29751	28.40448
BABANANGO	-28.37593	31.08263
BADPLAAS	-25.95836	30.56857
BAINSVLEI	-29.06613	26.12837
BALFOUR	-32.53628	26.67652
BALFOUR TVL	-26.66282	28.58695
BARBERTON	-25.79074	31.05178
BARKLY EAST	-30.96913	27.59774
BARKLY WEST	-28.53715	24.52533
BARRYDALE	-33.90276	20.72117
Bathlaros	-27.30544	23.34164
BATHO	-29.13468	26.22531
BATHURST	-33.50484	26.83917
BAVIAANSKLOOF	-33.53938	23.98058
BAYSWATER	-29.08896	26.23033
BAYVIEW	-29.92278	30.9117
BEACON BAY	-32.96884	27.93836
BEAUFORT WEST	-32.34946	22.58486
BEDFORD	-32.68363	26.08275
BEDFORDVIEW	-26.1796	28.13719
BEDWANG	-25.087	27.96893
BEKKERSDAL	-26.287108	27.6987305
BELA-BELA	-24.87751	28.29453
BELFAST	-25.70144	30.04588
BELHAR	-33.94692	18.64877
BELL	-33.24744	27.35953
BELLAIR	-29.88968	30.94137
BELLVILLE	-33.90206	18.6221
BELLVILLE SOUTH	-33.91541	18.64655
BELMONT	-29.41678	24.36647
BENONI	-26.19655	28.31337
BEREA	-29.84813	31.00409
BERGVILLE	-28.73144	29.35523
BERLIN	-32.87859	27.5732
BESTERS	-28.43673	29.64116
BETHAL	-26.46098	29.46955
BETHANIE	-25.55175	27.60139
BETHELSDORP	-33.87062	25.51261
BETHLEHEM	-28.23108	28.30889
BETHULIE	-30.49887	25.97663
BHEKITHEMBA	-29.97721	30.86016
BHISHO	-32.85029	27.44085
Bholo	-32.3882	27.62414
Bholothwa	-31.9862	27.1992
BIESIESVLEI	-26.37833	25.90384
BISHOP LAVIS	-33.94634	18.57224
BISHOPSTOWE	-29.58422	30.47682
BITYI	-31.80929	28.53375
BLINKPAN	-26.09934	29.45108
BLOEMHOF	-27.65256	25.60685
BLOEMSPRUIT	-29.1395	26.27852
BLUEWATER	-32.72743	27.95053
BOETSAP	-27.9761	24.45268
BOIPATONG	-26.66959	27.84344
BOITEKONG	-25.60465	27.29704
BOITHUSO	-29.25967	26.67399
BOKSBURG	-26.22025	28.23787
BOKSBURG NORTH	-26.206	28.25302
BOLOBEDU	-23.64412	30.22274
BONNIEVALE	-33.93905	20.09825
BOONS	-25.96687	27.23671
BOOYSENS	-26.23361	28.02202
BOSCHKOP	-25.81666	28.40709
BOSHOEK	-25.72593	24.28325
BOSHOF	-28.54034	25.23967
BOSTON	-29.68509	30.04722
BOTHASIG	-33.85506	18.54346
BOTHAVILLE	-27.38891	26.61423
BOTHITHONG	-27.065	23.82805
BOTLOKWA	-23.49214	29.73967
BOTSHABELO	-29.2362	26.71606
BRACKENDOWNS	-26.34619	28.09636
BRACKENFELL	-33.87196	18.68164
BRAKPAN	-26.23481	28.36257
BRAMLEY	-26.12079	28.08413
BRANDFORT	-28.7031	26.45913
BRANDVLEI	-30.46407	20.4897
BRAY	-25.45771	23.7157
BREDASDORP	-34.53644	20.04727
BREYTEN	-26.30226	29.98664
BRIDGE CAMP	-32.02197	27.3588
BRIGHTON BEACH	-29.93649	31.00619
BRITS	-25.63515	27.77918
BRITSTOWN	-30.59218	23.4996
BRIXTON	-26.19278	27.99355
BRONKHORSTSPRUIT	-25.80898	28.74566
BRONVILLE	-27.99683	26.81762
BROOKLYN	-25.7556	28.2377
BUFFALO FLATS	-33.02401	27.86027
BUFFELSHOEK	-26.80295	27.39991
BULGERIVIER	-24.12651	27.69389
BULTFONTEIN	-28.29346	26.15286
BULWER	-29.8118	29.76945
BURGERSDORP	-30.99708	26.33273
BURGERSFORT	-24.67925	30.32999
BUSHBUCKRIDGE	-24.8423	31.06821
BUTTERWORTH	-32.3292	28.14217
CALA	-31.52416	27.69644
CALCUTTA	-24.98705	31.24385
CALEDON	-34.23493	19.42919
CALITZDORP	-33.53339	21.68666
CALVINIA	-31.47331	19.77337
CAMBRIDGE	-32.97932	27.89812
CAMPBELL	-28.8032	23.71662
CAMPERDOWN	-29.72907	30.54127
CAMPS BAY	-33.95604	18.37672
CAPE TOWN CENTRAL	-33.92774	18.4231
CARLETONVILLE	-26.35839	27.39859
CARNARVON	-30.96943	22.1259
CAROLINA	-26.07128	30.11998
CATHCART	-32.29579	27.1411
CATO MANOR	-29.86012	30.968
CEDARVILLE	-30.39106	29.04574
CENTANE	-32.51021	28.3202
CERES	-33.36941	19.31159
CEZA	-27.99503	31.37832
CHALUMNA	-33.13694	27.53995
CHARL CILLIERS	-26.65976	29.1875
CHARLESTOWN	-27.41557	29.87355
CHATSWORTH	-29.91231	30.88538
CHRISSIESMEER	-26.28052	30.21357
CHRISTIANA	-27.90918	25.16738
CHUNGWA	-32.83898	27.15612
CITRUSDAL	-32.58829	19.01101
CLANWILLIAM	-32.17615	18.89226
CLAREMONT	-33.98442	18.47286
CLARENS	-28.5154	28.41983
CLEVELAND	-26.20398	28.11556
CLOCOLAN	-28.91602	27.56798
CLOETESVILLE	-33.92257	18.85526
COFFEE BAY	-31.97848	29.14881
COFIMVABA	-32.00375	27.58411
COLENSO	-28.73492	29.82205
COLESBERG	-30.7197	25.09446
COLIGNY	-26.3307	26.31738
COMMITTEES	-33.16014	26.83654
CONVILLE	-33.98272	22.47327
COOKHOUSE	-32.75007	25.8005
CORNELIA	-27.23861	28.85422
