Police_Station,Size_Area,PopulationY,Male,Female,Rural,Urban,Farm,Black,Coloured,Indian,White,Other_Race,No_School,Primary,Secondary,Tertiary,Certi_diploma,other_education,brick_house,flats,Informal_Shack,Traditional,Other_dwelling
Pudimoe,571.42,36424,46,54,100,0,0,99,1,0,0,0,10,29,44,2,2,13,92,1,7,4,0
Wonderboompoort,14.97,20303,49,51,0,100,0,20,2,1,77,1,2,8,58,12,9,11,77,17,5,1,0
Kingsley,990.91,4007,51,49,1,13,86,94,0,0,5,1,12,31,42,2,1,12,66,4,3,27,0
Riebeeck east,1114.29,1329,51,49,0,57,43,71,18,0,10,0,7,27,53,3,1,9,85,0,12,5,0
Humewood,82.77,38425,48,52,0,100,0,40,8,3,49,1,1,6,49,24,6,14,43,55,2,0,0
Orkney,551.55,24699,58,42,0,89,11,63,2,0,34,0,2,13,66,3,3,13,85,12,4,0,0
Vaal marina,619.74,2003,57,43,0,73,27,89,0,0,9,2,8,19,61,1,1,10,74,4,146,0,0
Wesselsbron,2154.81,30462,48,52,0,88,12,93,1,0,5,0,6,25,53,1,1,14,87,2,44,1,0
Groot marico,1377.49,14110,55,45,2,35,63,81,1,1,17,1,19,27,39,2,1,12,83,2,25,8,0
Bloemspruit,964.13,103393,52,48,0,100,0,89,8,0,2,0,6,22,56,2,2,13,86,1,55,0,0
Kliprivier,435.24,13656,55,45,0,43,57,57,1,2,40,0,5,16,58,5,3,12,86,2,29,1,0
Dwaalboom,2970.26,1880,61,39,0,0,100,76,1,1,22,0,16,16,48,5,2,13,88,3,30,2,0
Reitz,2736.91,25484,48,52,0,81,19,89,0,0,11,0,8,24,51,3,2,12,80,1,25,4,0
Hlabisa,1313.11,33736,46,54,90,8,3,99,0,0,0,0,9,25,48,1,1,16,69,7,2,22,0
Stellenbosch,546.41,53347,48,52,0,71,29,13,45,1,41,1,3,14,42,19,3,19,68,30,4,0,0
Amangwe,282.63,43393,46,54,100,0,0,99,0,0,0,0,11,26,47,1,1,15,47,8,3,42,0
Kabokweni,357.11,131276,48,52,100,0,0,99,1,0,0,0,9,20,54,2,2,13,96,1,5,1,0
Morokweng,3214.58,28761,45,55,100,0,0,98,2,0,0,0,12,31,40,1,1,15,87,1,11,4,0
Umhlali,475.46,74729,51,49,1,82,17,74,1,9,16,0,8,19,53,5,2,12,81,9,9,4,0
Naboomspruit,3150.24,30102,51,49,0,81,19,85,0,0,14,1,8,18,56,2,2,14,90,3,11,1,0
Boston,574.08,5935,47,53,61,0,39,98,0,0,2,0,7,28,51,2,1,12,45,2,2,52,0
Pietermaritzburg,12.10,20441,47,53,0,100,0,60,9,20,10,2,2,11,57,8,6,14,45,44,15,0,0
Philippi,55.92,53902,48,52,0,100,0,11,82,3,2,3,3,20,61,1,1,13,39,50,21,0,0
Vredefort,1752.41,15614,48,52,0,88,12,94,2,0,3,0,7,25,53,1,1,13,80,1,26,1,0
Sterkstroom,2308.03,8626,48,52,0,81,19,90,2,0,7,0,6,28,47,2,2,15,96,1,2,1,0
Plettenberg bay,1167.62,26924,50,50,0,99,1,32,41,1,24,3,3,17,56,7,4,14,84,6,46,1,0
Alexandria,1306.57,13845,48,52,0,84,16,75,13,0,11,1,9,26,50,2,2,11,91,2,14,2,0
Athlone,16.52,63307,48,52,0,100,0,8,76,13,1,2,2,12,68,5,3,10,57,36,14,0,0
Masoyi,185.43,98815,48,52,100,0,0,99,0,0,0,0,8,21,56,1,2,13,96,0,4,1,0
Mbongolwane,613.98,31980,45,55,100,0,0,100,0,0,0,0,18,25,42,1,1,14,35,4,1,60,0
Avondale,1176.07,33902,46,54,100,0,0,100,0,0,0,0,7,32,45,1,1,14,30,7,7,57,0
Hlanganani,419.58,59317,44,56,100,0,0,100,0,0,0,0,13,23,48,1,1,13,90,0,1,9,0
Aberdeen,9561.97,9867,49,51,0,73,27,16,74,0,9,0,9,23,51,3,1,12,96,3,2,0,0
Umkomaas,232.70,68069,48,52,67,30,3,85,1,11,3,0,5,20,59,2,2,11,76,3,13,17,0
Hammarsdale,83.44,16561,49,51,10,73,17,92,1,3,4,0,6,21,58,1,2,12,80,2,4,16,0
Cyferskuil,269.82,20505,49,51,100,0,0,99,0,0,0,0,7,26,52,1,1,14,90,1,33,2,0
Storms river,1007.62,9591,50,50,0,96,4,42,51,0,5,1,4,22,61,2,1,11,95,1,9,1,0
Chatsworth,49.09,154287,49,51,0,100,0,29,1,69,0,0,4,13,70,3,2,9,75,15,23,1,0
Mdantsane,40.72,83791,47,53,0,100,0,99,0,0,0,0,3,18,64,1,3,12,94,1,33,0,0
Kgomotso,590.27,14462,47,53,100,0,0,98,1,0,0,0,9,30,46,0,1,13,79,0,8,18,0
Groblershoop,10386.12,16377,50,50,0,84,16,8,84,1,5,2,9,29,46,1,1,13,93,2,49,2,0
Windsorton,1393.20,7775,51,49,0,97,3,66,28,1,2,3,16,25,46,0,0,12,96,1,17,1,0
