AgeGroup,MaleJ,FemaleJ,MaleF,FemaleF,OrderX
0-4,-6402,6365,-5362,5323,20
5-9,-6408,6517,-5482,5575,19
10-14,-5569,5734,-4974,5083,18
15-19,-5893,5950,-5178,5106,17
20-24,-6133,6293,-3358,3988,16
25-29,-6128,6029,-2283,3519,15
30-34,-4584,4750,-1491,2784,14
35-39,-3669,3922,-1215,2460,13
40-44,-2586,2853,-947,1975,12
45-49,-2132,2643,-923,1946,11
50-54,-1593,2076,-760,1614,10
55-59,-1236,1667,-635,1410,9
60-64,-935,1308,-633,1178,8
65-69,-662,983,-543,933,7
70-74,-395,784,-349,766,6
75-79,-344,663,-316,629,5
80-84,-154,508,-138,483,4
85-89,-126,484,-121,457,3
90-94,-44,134,-43,124,2
95+,-21,88,-18,80,1
